who,tick,start-x,start-y,end-x,end-y,total-distance,straight-line,efficiency
who,tick,start-x,start-y,end-x,end-y,total-distance,straight-line,efficiency
7,218,0,0,-14.8384028630434,-15.331853708229328,61,21.33644622837927,0.34977780702261096
1,218,0,0,-14.973863911418432,-15.066559765892217,52,21.241888419273874,0.4084978542168053
3,218,0,0,15.466216237737623,15.416225364001042,34,21.83721248662768,0.6422709554890494
4,226,0,0,-15.127197838002036,-15.49813705005211,60,21.656970389513198,0.3609495064918866
20,226,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
5,226,0,0,-14.924410106853491,-15.318651894483219,49,21.386891146258375,0.4364671662501709
8,226,0,0,-14.839145046438858,-15.194484620391128,52,21.238469544403465,0.40843210662314355
15,226,0,0,15.325442069453713,14.519637624088807,30,21.11134887587804,0.7037116291959347
3,226,0,0,15.466216237737623,15.416225364001042,34,21.83721248662768,0.6422709554890494
7,226,0,0,-14.8384028630434,-15.331853708229328,64,21.33644622837927,0.3333819723184261
22,226,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
23,226,0,0,-15.127197838002036,-15.49813705005211,54,21.656970389513198,0.40105500721320736
18,226,0,0,-14.8384028630434,-15.331853708229328,31,21.33644622837927,0.6882724589799765
1,226,0,0,-14.973863911418432,-15.066559765892217,53,21.241888419273874,0.4007903475334693
25,226,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
15,243,0,0,15.325442069453713,14.519637624088807,35,21.11134887587804,0.6031813964536583
23,243,0,0,-15.127197838002036,-15.49813705005211,54,21.656970389513198,0.40105500721320736
9,243,0,0,-14.994374749455636,-15.408549070935697,67,21.50010833922811,0.3208971393914643
1,243,0,0,-14.973863911418432,-15.066559765892217,56,21.241888419273874,0.379319436058462
22,243,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
8,243,0,0,-14.839145046438858,-15.194484620391128,56,21.238469544403465,0.3792583847214904
20,243,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
5,243,0,0,-14.924410106853491,-15.318651894483219,59,21.386891146258375,0.3624896804450572
4,243,0,0,-15.127197838002036,-15.49813705005211,64,21.656970389513198,0.3383901623361437
7,243,0,0,-14.8384028630434,-15.331853708229328,70,21.33644622837927,0.3048063746911324
3,243,0,0,15.466216237737623,15.416225364001042,36,21.83721248662768,0.6065892357396578
25,243,0,0,15.466216237737623,15.416225364001042,33,21.83721248662768,0.6617337117159904
27,243,0,0,15.466216237737623,15.416225364001042,34,21.83721248662768,0.6422709554890494
18,243,0,0,-14.8384028630434,-15.331853708229328,31,21.33644622837927,0.6882724589799765
1,245,0,0,-14.973863911418432,-15.066559765892217,56,21.241888419273874,0.379319436058462
8,245,0,0,-14.839145046438858,-15.194484620391128,58,21.238469544403465,0.3661805093862666
18,245,0,0,-14.8384028630434,-15.331853708229328,31,21.33644622837927,0.6882724589799765
3,245,0,0,15.466216237737623,15.416225364001042,36,21.83721248662768,0.6065892357396578
